"","aggregationMode","seasonYear","season","uStar","16%","50%","84%"
"54","season",2014,"2014003",0.13613775,0.126449993928571,0.16202953125,0.19482665
"55","season",2014,"2014006",0.13613775,0.126449993928571,0.16202953125,0.19482665
"56","season",2014,"2014009",0.13613775,0.126449993928571,0.16202953125,0.19482665
"57","season",2015,"2014012",0.385732142857143,0.161161599444444,0.318598964285714,0.400096028333333
"58","season",2015,"2015003",0.385732142857143,0.294645672380952,0.343049407142857,0.419842633333333
"59","season",2015,"2015006",0.385732142857143,0.294645672380952,0.343049407142857,0.419842633333333
"60","season",2015,"2015009",0.385732142857143,0.294645672380952,0.343049407142857,0.419842633333333
"61","season",2016,"2015012",0.364433142857143,0.255606216,0.326069888888889,0.384081505454545
"62","season",2016,"2016003",0.364433142857143,0.254743390363636,0.324013151785714,0.377484970909091
"63","season",2016,"2016006",0.364433142857143,0.254743390363636,0.324013151785714,0.377484970909091
"64","season",2016,"2016009",0.364433142857143,0.254743390363636,0.324013151785714,0.377484970909091
"65","season",2017,"2016012",0.350302,0.238577125656566,0.297042,0.370009505
"66","season",2017,"2017003",0.350302,0.210126848,0.283412947916667,0.350446044444444
"67","season",2017,"2017006",0.350302,0.210126848,0.283412947916667,0.350446044444444
"68","season",2017,"2017009",0.350302,0.210126848,0.283412947916667,0.350446044444444
"69","season",2018,"2017012",0.328177714285714,0.266697131818182,0.29829255952381,0.339684084444444
"70","season",2018,"2018003",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"71","season",2018,"2018006",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"72","season",2018,"2018009",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"73","season",2019,"2018012",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"74","season",2019,"2019003",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"75","season",2019,"2019006",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"76","season",2019,"2019009",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
"77","season",2019,"2019012",0.328177714285714,0.268383876363636,0.303628125,0.339684084444444
